EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
748536,SOUTHERN QUEENS (ZONE), ,03/02/2018,700,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,124689,Z,178,OKX,0,0,Official NWS Observations, , , , , , , , ,03/02/2018,900, , , , ,"The USGS tidal gauge in Jamaica Bay at Inwood recorded a peak water level of 8.4 ft. MLLW at 806 am EST. The moderate coastal flood threshold of 8.2 ft. MLLW was touched from 736 to 836 am EST.","A powerful coastal storm impacted the region Friday through Sunday with North to Northeast Gale to Storm force winds. This resulted in several tidal cycle of minor to moderate coastal flooding Friday morning through Sunday morning, with the most widespread moderate to locally major impacts occurring with the Saturday Night high tidal cycle. In addition, prolonged high surf from energetic easterly swells during this time period resulted in widespread areas of dune erosion and localized washovers along the Atlantic Ocean beachfront.",1
739437,SOUTHERN QUEENS (ZONE), ,03/02/2018,1200,High Wind,58.00, ,0,1,500000,0,NY,EST-5,MG,122641,Z,178,OKX,0,0,ASOS, , , , , , , , ,03/02/2018,2200, , , , ,"At 1228 and 1232 pm, the ASOS at JFK International Airport measured a wind gust to 63 mph. Sustained winds of 48 mph were observed at 1235 pm at JFK. Around 2 pm, the public reported a tree down on multiple cars on Homeland Street in Jamaica Estates. At 349 pm in Jamaica, a tree fell onto a car at CUNY York Campus resulting in an injury per the broadcast media. The ASOS at JFK International airport measured a wind gust to 64 mph at 440 pm. Then, a gust to 67 mph was measured at 527 pm at JFK. Per social media, trees and power lines were downed at 935 pm in Jamaica on Tudor Road near surrey Place.","A deep area of low pressure passed off the coast.",2
739454,RICHMOND (STATEN IS.) (ZONE), ,03/02/2018,1300,High Wind,73.00, ,0,0,50000,0,NY,EST-5,MG,122641,Z,74,OKX,0,0,Broadcast Media, , , , , , , , ,03/02/2018,1500, , , , ,"Around 2 pm, the media reported an overturned tractor trailer on the Verrazano-Narrows Bridge due to the high winds. An 84 mph wind gust at an elevation of 700 feet was measured at the bridge.","A deep area of low pressure passed off the coast.",3
739455,NEW YORK (MANHATTAN) (ZONE), ,03/02/2018,1400,High Wind,50.00, ,0,0,50000,0,NY,EST-5,EG,122641,Z,72,OKX,0,0,Broadcast Media, , , , , , , , ,03/02/2018,1600, , , , ,"The local media reported a scaffolding collapse on Broome Street between Clinton and Ridge streets in the lower east side of Manhattan. This occurred around 245 pm.","A deep area of low pressure passed off the coast.",4
739442,NORTHERN QUEENS (ZONE), ,03/02/2018,1400,High Wind,50.00, ,0,0,100000,0,NY,EST-5,MG,122641,Z,176,OKX,0,0,Department of Highways, , , , , , , , ,03/02/2018,1800, , , , ,"At 236 pm, the Department of Highways reported a downed tree on I-295 southbound at Cross Island Parkway and the Throgs Neck Bridge approach. Only one lane was open. At 330 pm, a tree was knocked down at 169 Street and 29th Avenue in Murray Hill per the broadcast media. In Flushing, the media reported a large tree down on 167th and 33rd Avenue at 345 pm. Social media reported a portion of a roof of a hangar was blown off at LaGuardia Airport at 430 pm. In Bayside, a few large oak trees were knocked down, one falling onto a vehicle at 5 pm.","A deep area of low pressure passed off the coast.",5
739458,KINGS (BROOKLYN) (ZONE), ,03/02/2018,1600,High Wind,50.00, ,0,0,50000,0,NY,EST-5,EG,122641,Z,75,OKX,0,0,Social Media, , , , , , , , ,03/02/2018,1800, , , , ,"At 5 pm, a large tree was uprooted and knocked down across multiple properties causing property damage in the Flatlands section of Kings. This was via social media.","A deep area of low pressure passed off the coast.",6
739459,BRONX (ZONE), ,03/02/2018,1700,High Wind,50.00, ,0,0,10000,0,NY,EST-5,EG,122641,Z,73,OKX,0,0,Social Media, , , , , , , , ,03/02/2018,1800, , , , ,"Per social media, a tree was knocked down on Henrey Hudson Parkway at 236 Street in Didgewood around 530 pm. This report was courtesy of the New York city Transit buses twitter account.","A deep area of low pressure passed off the coast.",7
748544,SOUTHERN QUEENS (ZONE), ,03/03/2018,2100,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,124689,Z,178,OKX,0,0,Official NWS Observations, , , , , , , , ,03/03/2018,2300, , , , ,"The USGS tidal gauge in Jamaica Bay at Inwood recorded a peak water level of 8.6 ft. MLLW at 1000 pm EST. The moderate coastal flood threshold of 8.2 ft. MLLW was exceeded from 912 to 1048 pm EST. The USGS tidal gauge in Rockaway Inlet recorded a peak water level of 8.3 ft. MLLW at 948 pm EST. The moderate coastal flood threshold of 8.3 ft. MLLW was touched from 930 to 1006 pm EST.","A powerful coastal storm impacted the region Friday through Sunday with North to Northeast Gale to Storm force winds. This resulted in several tidal cycle of minor to moderate coastal flooding Friday morning through Sunday morning, with the most widespread moderate to locally major impacts occurring with the Saturday Night high tidal cycle. In addition, prolonged high surf from energetic easterly swells during this time period resulted in widespread areas of dune erosion and localized washovers along the Atlantic Ocean beachfront.",8
744240,SOUTHERN QUEENS (ZONE), ,03/07/2018,200,Winter Weather, , ,0,0,0,0,NY,EST-5, ,124011,Z,178,OKX,0,0,Official NWS Observations, , , , , , , , ,03/07/2018,2100, , , , ,"The FAA Contract Observer at John F. Kennedy Airport reported 2.8 inches of snow. 2 to 4 inches of snowfall was reported across southern Queens.","A strong low pressure system developed along the Middle Atlantic coast during the morning of Wednesday, March 7, 2018. The low tracked along the coast through the early morning hours on Thursday, March 8, 2018. The storm brought heavy wet snow, strong gusty winds, and even some thundersnow to southeast New York. Snowfall rates ranged from 1 to 3 inches per hour at times in the heaviest snow bands.",9
744238,BRONX (ZONE), ,03/07/2018,200,Winter Weather, , ,0,0,0,0,NY,EST-5, ,124011,Z,73,OKX,0,0,COOP Observer, , , , , , , , ,03/07/2018,2100, , , , ,"A COOP observer reported 2.3 inches of snow in Parkchester. 2.5 inches was reported by the public in Morris Park.","A strong low pressure system developed along the Middle Atlantic coast during the morning of Wednesday, March 7, 2018. The low tracked along the coast through the early morning hours on Thursday, March 8, 2018. The storm brought heavy wet snow, strong gusty winds, and even some thundersnow to southeast New York. Snowfall rates ranged from 1 to 3 inches per hour at times in the heaviest snow bands.",10
